"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 10 16:17:14 IST 2025","Mon Mar 10 16:17:45 IST 2025","30112","","mivzakim","","","","rotter data",""
"passed","Mon Mar 10 16:19:11 IST 2025","Mon Mar 10 16:19:43 IST 2025","31909","","mivzakim","","","","hamal data",""
"passed","Mon Mar 10 16:16:41 IST 2025","Mon Mar 10 16:17:14 IST 2025","33638","","mivzakim","","","","ynet data",""
"passed","Mon Mar 10 16:19:43 IST 2025","Mon Mar 10 16:20:24 IST 2025","40751","","mivzakim","","","","walla data",""
"passed","Mon Mar 10 16:17:45 IST 2025","Mon Mar 10 16:19:11 IST 2025","86769","","mivzakim","","","","maariv data",""
